Current program,Year of study,Program level,Sex,Ethnicity,Age group,Preferred learning style,Used ChatGPT for learning purposes,"How often  ChatGPT is used for educational
purposes",ChatGPT usage purposes,ChatGPT usage hours per week,Satisfaction with the quality of responses by ChatGPT,"How helpful ChatGPT in improving the
understanding of course material","Improvement of marks
since using ChatGPT for personalized learning","Level of confidence in understanding of
subjects after using ChatGPT","Sample situations where
ChatGPT significantly aided learning","Used any features of ChatGPT that tailor
responses to  learning preferences or
styles","If yes, how effective are the tailored
responses in enhancing comprehension and
knowledge acquisition","Feel that personalized responses from
ChatGPT have improved grades or academic
performance","Improvements to suggest for ChatGPT
to better support learning","Think that integrating ChatGPT more deeply into
the curriculum would benefit students","Features that would like to be seen in ChatGPT to
enhance  personalized learning capabilities","Additional comments or suggestions regarding
the use of ChatGPT in learning process"
Marketing,First,Postgraduate,Male,Asian,18-24,Reading/Writing,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",1 to 3 hours,Satisfied,Helpful,"Yes, slight improvement",Confident,making concepts easier in layman's term and through example,Yes,Neutral,Neutral,use better web search,Strongly Agree,,
Marketing,First,Diploma,Female,Asian,18-24,Reading/Writing,Yes,Rarely,"Understanding concepts, Project research",1 to 3 hours,Neutral,Helpful,No change,Confident,,No,,Neutral,,Disagree,,
Hospitality Management,First,Diploma,Female,Asian,35-44,Reading/Writing,Yes,Weekly,Understanding concepts,Less than 1 hour,Neutral,Neutral,No change,Not confident,,No,,Neutral,,Disagree,English improvement,
Hospitality Management,Second,Diploma,Female,Asian,18-24,Reading/Writing,Yes,Weekly,Understanding concepts,Less than 1 hour,Neutral,Helpful,"Yes, slight improvement",Neutral,"Biology example of situation, brief summart",No,,Neutral,,Neutral,,
Hospitality Management,First,Diploma,Male,Asian,18-24,Reading/Writing,Yes,Rarely,"Understanding concepts, Homework assistance",Less than 1 hour,Neutral,Neutral,No change,Neutral,getting examples from a problem,No,,Neutral,,Agree,,
Hospitality Management,First,Diploma,Female,Native American,45-54,Reading/Writing,Yes,Monthly,Understanding concepts,3 to 5 hours,Neutral,Very unhelpful,No change,Not applicable,,No,,Neutral,,Strongly Agree,,
Hospitality Management,First,Postgraduate,Female,Asian,25-34,Reading/Writing,Yes,Monthly,"Homework assistance, Project research, Assignments, Exam Preparation",Less than 1 hour,Neutral,Helpful,"Yes, slight improvement",Confident,"I have accounting for managers, chatgpt helped me understand concepts in a comprehensive way",No,,Agree,"to improve their database, not vague responses",Agree,,I believe chatgpt can certainly help in understanding the concepts more
Hospitality Management,Second,Postgraduate,Male,Asian,25-34,Reading/Writing,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",More than 5 hours,Satisfied,Very Helpful,"Yes, significant improvement",Very confident,creating hypothetical cases/examples to help me visualize material,Yes,Very effective,Strongly Agree,make prompts more guided,Strongly Agree,interactive elements,
Hospitality Management,First,Diploma,Female,Hispanic/Latino,25-34,Reading/Writing,Yes,Weekly,Understanding concepts,3 to 5 hours,Satisfied,Helpful,"Yes, slight improvement",Neutral,,Yes,Neutral,Neutral,,Neutral,,
Hospitality Management,Second,Diploma,Male,Asian,18-24,Reading/Writing,Yes,Weekly,Understanding concepts,Less than 1 hour,Neutral,Neutral,No change,Not confident,glimpse,Yes,Ineffective,Strongly disagree,more correct answers,Strongly disagree,improve in more correct answers,
Hospitality Management,Second,Diploma,Male,Asian,18-24,Reading/Writing,Yes,Rarely,Understanding concepts,1 to 3 hours,Satisfied,Helpful,"Yes, significant improvement",Very confident,I used for my course in health and safety regarding investigating methods and tools for incidents. Chatgpt provided me good examples of each method and tools for understanding the concepts,Yes,Very effective,Agree,provide a real life example for better understanding,Agree,enhance the accuracy effectively and efficiently to get the concepts understand better,
CSIS,First,Postgraduate,Female,Asian,25-34,Reading/Writing,Yes,Weekly,"Understanding concepts, Homework assistance, Tutoring or extra help, Exam Preparation",1 to 3 hours,Neutral,Helpful,"Yes, significant improvement",Confident,"In understanding programming concepts in C#, JS, etc.",Yes,Very effective,Agree,more updated responses with more accuracy would be nice,Neutral,probably taking notes in class,
CSIS,Second,Bachelors,Male,Asian,35-44,Reading/Writing,No,,,,,,,,,,,,,,,
CSIS,Second,Diploma,Male,Asian,25-34,Reading/Writing,Yes,Daily,"Understanding concepts, Project research, Tutoring or extra help, Exam Preparation",1 to 3 hours,Satisfied,Helpful,"Yes, slight improvement",Neutral,understanding basic concepts of coding during exams and homeworks,Yes,Effective,Neutral,maybe ask the user for the prior knowledge about the topic and then providing answers to that knowledge,Agree,personalized answers for each individual assistance,keep exploring
CSIS,Second,Postgraduate,Male,Hispanic/Latino,25-34,Reading/Writing,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments, Tutoring or extra help, Exam Preparation",1 to 3 hours,Satisfied,Helpful,"Yes, significant improvement",Confident,doing website dev,Yes,Very effective,Agree,do not be condecendent,Strongly Agree,,
CSIS,Second,Postgraduate,Male,Asian,25-34,Reading/Writing,Yes,Daily,"Understanding concepts, Class lecture and notes",Less than 1 hour,Satisfied,Very Helpful,No change,Neutral,coding subject,Yes,Effective,Disagree,free,Neutral,more advanced technique,do not blindly trust on technology
CSIS,Second,Postgraduate,Male,Asian,25-34,Reading/Writing,Yes,Weekly,"Understanding concepts, Homework assistance, Tutoring or extra help",1 to 3 hours,Satisfied,Helpful,"Yes, slight improvement",Confident,,No,,Agree,,Agree,,
CSIS,Second,Diploma,Male,Asian,35-44,Reading/Writing,Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",1 to 3 hours,Satisfied,Very Helpful,"Yes, significant improvement",Confident,,Yes,Very effective,Agree,,Agree,,
CSIS,Second,Postgraduate,Female,Asian,35-44,Reading/Writing,Yes,Rarely,"Understanding concepts, Tutoring or extra help",Less than 1 hour,Neutral,Neutral,No change,Not confident,chatgpt providing generic statement. Not specific. Sometimes fall of error. I use for grammar check,No,,Strongly disagree,chatgpt should learn to answer specific question,Strongly disagree,,
CSIS,Second,Postgraduate,Male,Hispanic/Latino,35-44,Reading/Writing,Yes,Monthly,Homework assistance,Less than 1 hour,Dissatisfied,Neutral,No change,Confident,identifying programming errors and explaining exceptions,No,,Disagree,"the problem is that it makes mistakes without warning, so user must double check its statements at all times",Agree,producing brand new knowledge (at some time in the future),use it as an approach or to explain simple concepts. But at this stage it is not reliable
CSIS,Second,Diploma,Female,Asian,25-34,Reading/Writing,Yes,Daily,"Understanding concepts, Homework assistance, Assignments, Tutoring or extra help",1 to 3 hours,Satisfied,Helpful,"Yes, significant improvement",Very confident,"when learning new concepts, I usually ask chatgpt to explain it in simple terms so I can easily understand it",No,,Agree,to provide the original sources of the information coming from this tool,Strongly Agree,,
Business,Third,Postgraduate,Male,African,25-34,Reading/Writing,Yes,Daily,Understanding concepts,1 to 3 hours,Satisfied,Very Helpful,"Yes, slight improvement",Neutral,having a clear understanding in some chapters,Yes,Effective,Agree,for it to be free for some of its features,Strongly Agree,having a longer version,you can't trust chatgpt 100%
Business,Second,Diploma,Male,Prefer not to say,18-24,Reading/Writing,Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",1 to 3 hours,Neutral,Helpful,"Yes, slight improvement",Neutral,by asking chatgpt to explain concepts,No,,Neutral,,Strongly Agree,,
CSIS,Second,Diploma,Prefer not to say,Prefer not to say,Prefer not to say,Reading/Writing,Yes,Daily,"Understanding concepts, Homework assistance, Assignments, Tutoring or extra help, Exam Preparation",1 to 3 hours,Satisfied,Very Helpful,No change,Confident,Understanding concepts and coding for use,No,,Neutral,,Agree,,
CSIS,First,Diploma,Female,Asian,25-34,Reading/Writing,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",Less than 1 hour,Satisfied,Very Helpful,"Yes, slight improvement",Confident,to summarize core concept and example,Yes,Effective,Agree,free version for video summary,Agree,have summarize cheat sheet generated,learn to ask corrct question and correct prompt
CSIS,Fourth,Diploma,Male,Pacific Islander,25-34,Reading/Writing,Yes,Rarely,Other,Less than 1 hour,Satisfied,Neutral,No change,Not applicable,helped me write statements for a resume/cover letter,No,Neutral,Neutral,add sources in case for research to check if its peer reviewed,Neutral,give extra suggestions,
CSIS,Second,Postgraduate,Male,Asian,35-44,Reading/Writing,Yes,Daily,"Understanding concepts, Homework assistance, Assignments, Tutoring or extra help",1 to 3 hours,Satisfied,Helpful,"Yes, slight improvement",Confident,,Yes,Effective,Neutral,more explaining,Agree,to help understanding,
CSIS,First,Postgraduate,Female,Asian,25-34,Reading/Writing,Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",Less than 1 hour,Very satisfied,Very Helpful,"Yes, significant improvement",Very confident,once I stuck with coding (like its not working) chatgpt can help me solve it,Yes,Very effective,Strongly Agree,better at understanding human learning style,Strongly Agree,various in languages,
Business,Second,Postgraduate,Male,Prefer not to say,18-24,Reading/Writing,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Class lecture and notes, Tutoring or extra help, Exam Preparation",3 to 5 hours,Satisfied,Helpful,"Yes, significant improvement",Confident,"in my homework where cyber security instructors usually lack teaching skills (they are more like employees than professors, chatgpt helped me)",Yes,Effective,Agree,,Strongly Agree,visual learning,
CSIS,Second,Postgraduate,Male,Asian,25-34,Reading/Writing,Yes,Weekly,Understanding concepts,3 to 5 hours,Very satisfied,Very Helpful,No change,Neutral,when code has errors,No,,Neutral,verbal communication,Neutral,3.5 is great,
CSIS,First,Postgraduate,Female,Asian,18-24,Reading/Writing,Yes,Daily,"Understanding concepts, Assignments, Class lecture and notes, Exam Preparation",1 to 3 hours,Satisfied,Very Helpful,"Yes, slight improvement",Confident,while learning machine learning,No,,Agree,,Strongly Agree,,
CSIS,Second,Postgraduate,Male,Asian,25-34,Reading/Writing,Yes,Weekly,"Understanding concepts, Homework assistance, Tutoring or extra help",1 to 3 hours,Satisfied,Helpful,"Yes, slight improvement",Confident,when I was working on my coding project,Yes,Effective,Agree,marginal errors,Agree,improved visuals and graphs,
Business,First,Diploma,Female,Asian,18-24,Reading/Writing,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments, Tutoring or extra help, Exam Preparation",Less than 1 hour,Very satisfied,Very Helpful,"Yes, slight improvement",Very confident,,Yes,Very effective,Strongly Agree,,Strongly Agree,,
CSIS,Second,Postgraduate,Female,Asian,25-34,Reading/Writing,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Class lecture and notes, Tutoring or extra help, Exam Preparation",1 to 3 hours,Satisfied,Helpful,"Yes, slight improvement",Confident,for learning concepts,Yes,Effective,Agree,,Strongly Agree,data analyzing,
Business,Second,Postgraduate,Female,Asian,25-34,Reading/Writing,Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",1 to 3 hours,Satisfied,Very Helpful,"Yes, slight improvement",Neutral,explain calculations,Yes,Effective,Agree,should be able to upload pdf,Agree,pdf reader,
Business,First,Postgraduate,Female,Asian,25-34,Reading/Writing,Yes,Weekly,"Understanding concepts, Homework assistance, Assignments, Exam Preparation",1 to 3 hours,Neutral,Helpful,"Yes, slight improvement",Neutral,"in the assignments, to explain some topic",Yes,Effective,Neutral,,Neutral,unique answers,
Accounting,First,Diploma,Female,Asian,18-24,Reading/Writing,No,,,,,,,,,,,,,,,
Accounting,Second,Postgraduate,Female,Asian,18-24,Reading/Writing,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments, Exam Preparation",More than 5 hours,Very satisfied,Very Helpful,"Yes, slight improvement",Confident,chatgpt helped me with simplifying the language of content to make it easier,Yes,Effective,Agree,maybe example upgradation according to regional rules and concepts,Agree,more like selection of what rules to follow eg in accounting the ques can be answered based on aspe ,
Accounting,First,Diploma,Female,Hispanic/Latino,25-34,Reading/Writing,Yes,Monthly,"Understanding concepts, Homework assistance, Tutoring or extra help, Exam Preparation",Less than 1 hour,Satisfied,Very Helpful,"Yes, slight improvement",Confident,"when I forget the steps to certain accounting equations, it helps",No,,Agree,to be more accurate at times,Strongly Agree,more reference checking,let us use it
Accounting,First,Bachelors,Female,Asian,18-24,Reading/Writing,No,,,,,,,,,,,,,,,
Accounting,First,Diploma,Male,Asian,18-24,Reading/Writing,Yes,Weekly,"Understanding concepts, Homework assistance, Tutoring or extra help",1 to 3 hours,Neutral,Very Helpful,"Yes, significant improvement",Confident,,No,,Agree,,Neutral,,
Accounting,First,Diploma,Male,Asian,18-24,Reading/Writing,No,,,,,,,,,,,,,,,
Accounting,First,Diploma,Male,Asian,45-54,Reading/Writing,No,,,,,,,,,,,,,,,
Accounting,Third,Bachelors,Female,Asian,25-34,Reading/Writing,Yes,Weekly,Understanding concepts,Less than 1 hour,Neutral,Neutral,"Yes, slight improvement",Neutral,,No,,Neutral,,Neutral,,
Accounting,Third,Bachelors,Male,Asian,25-34,Reading/Writing,Yes,Rarely,Understanding concepts,Less than 1 hour,Satisfied,Very Helpful,No change,Confident,,No,,Neutral,,Agree,,
Accounting,Second,Postgraduate,Male,Asian,25-34,Reading/Writing,No,,,,,,,,,,,,,,,
Accounting,First,Diploma,Male,Asian,25-34,Reading/Writing,Yes,Rarely,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",More than 5 hours,Very satisfied,Helpful,"Yes, slight improvement",Neutral,,Yes,Effective,Agree,,Agree,,
Accounting,First,Diploma,Female,White/Caucasian,25-34,Reading/Writing,Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help",Less than 1 hour,Satisfied,Helpful,"Yes, slight improvement",Confident,it can provide shorter ways to do some problems rather than textbook especially I use math formulas on excel too,Yes,Neutral,Neutral,it can give some up to date examples and solutions but it doesn’t provide some way of classes sometimes,Neutral,"some summarized profits of certain  subjects we searched for exam preparation, maybe not sure",
Accounting,Fourth,Diploma,Female,Asian,18-24,Reading/Writing,Yes,Weekly,"Understanding concepts, Homework assistance, Class lecture and notes, Exam Preparation",Less than 1 hour,Very satisfied,Very Helpful,"Yes, slight improvement",Confident,I could not understand a lesson from a class and used chatgpt. It made it a lot easier to understand,Yes,Very effective,Agree,,Strongly Agree,,it should not be banned and encourage students to use it for further understanding of their studies 
Accounting,First,Postgraduate,Male,White/Caucasian,25-34,Reading/Writing,No,,,,,,,,,,,,,,,
Accounting,First,Diploma,Male,Asian,25-34,Usage Patterns,Yes,Rarely,Understanding concepts,Less than 1 hour,Satisfied,Neutral,"Yes, slight improvement",Confident,regarding my economics lessons,Yes,Neutral,Agree,give more accurate answers,Agree,to make more easy to the things that student wants to understand,
Accounting,Second,Diploma,Male,Asian,18-24,Usage Patterns,Yes,Rarely,"Understanding concepts, Assignments, Exam Preparation",Less than 1 hour,Neutral,Helpful,No change,Confident,it helped to provide examplesof course assignments,No,,Neutral,"having access to the college, having better answers, making accurate information",Strongly Agree,"cater to those who struggle to focus, adding more examples",
Accounting,First,Postgraduate,Female,Asian,35-44,Usage Patterns,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments, Tutoring or extra help, Exam Preparation",Less than 1 hour,Satisfied,Helpful,"Yes, slight improvement",Neutral,,No,,Neutral,,Neutral,,
Accounting,Second,Diploma,Female,Asian,18-24,Usage Patterns,Yes,Weekly,"Understanding concepts, Homework assistance, Assignments, Tutoring or extra help",Less than 1 hour,Satisfied,Very Helpful,"Yes, slight improvement",Confident,,No,,Agree,,Agree,,
Accounting,First,Diploma,Female,Asian,18-24,Usage Patterns,Yes,Weekly,"Understanding concepts, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",Less than 1 hour,Satisfied,Neutral,No change,Neutral,for doing and learning the difficult concepts,No,,Neutral,,Agree,,
Accounting,Second,Diploma,Female,Prefer not to say,18-24,Usage Patterns,Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Tutoring or extra help",1 to 3 hours,Satisfied,Helpful,"Yes, slight improvement",Confident,I was not able to understand few concept of Accounting. Chatgpt helped me understand it,Yes,Effective,Agree,more personalize and detailed,Agree,calculating,
Accounting,Second,Certificate,Female,Asian,18-24,Usage Patterns,No,,,,,,,,,,,,,,,
Accounting,First,Diploma,Female,Asian,18-24,Usage Patterns,Yes,Monthly,Tutoring or extra help,Less than 1 hour,Neutral,Neutral,No change,Neutral,provides ideas for clearing concepts,Yes,Effective,Neutral,could be more accurate,Agree,accurate calculations,
Accounting,First,Diploma,Prefer not to say,Prefer not to say,25-34,Usage Patterns,Yes,Daily,Understanding concepts,Less than 1 hour,Neutral,Helpful,No change,Neutral,"understanding accounting concepts, explaining answer sheets",Yes,Effective,Neutral,more visuals,Agree,its ability to explain,difficult topic
Accounting,Third,Diploma,Male,Asian,18-24,Usage Patterns,Yes,Weekly,Assignments,1 to 3 hours,Very satisfied,Helpful,"Yes, slight improvement",Confident,it help me do a hard question when I don’t know how to,Yes,Effective,Agree,Image function,Agree,,
Accounting,Second,Bachelors,Male,Pacific Islander,18-24,Usage Patterns,Yes,Monthly,"Understanding concepts, Tutoring or extra help",Less than 1 hour,Satisfied,Helpful,"Yes, slight improvement",Confident,helping understand homework,No,,Neutral,giving right answers all the time,Neutral,,
Accounting,Second,Bachelors,Female,Asian,18-24,Usage Patterns,Yes,Weekly,"Understanding concepts, Homework assistance, Assignments, Exam Preparation",3 to 5 hours,Satisfied,Helpful,"Yes, slight improvement",Confident,"definitions rewording, theories explanation",No,,Neutral,accuracy,Agree,"visual, more media",limitations
Accounting,Second,Bachelors,Male,Asian,18-24,Usage Patterns,Yes,Weekly,"Understanding concepts, Homework assistance, Assignments, Exam Preparation",1 to 3 hours,Neutral,Neutral,"Yes, slight improvement",Neutral,learning about macroeconomics concepts,No,,Neutral,"better calculation, knowledge and comprehension",Neutral,,
Accounting,Second,Bachelors,Male,Asian,18-24,Usage Patterns,Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Class lecture and notes",1 to 3 hours,Satisfied,Very Helpful,"Yes, slight improvement",Confident,summarizing walls of text in baks and making it less time-consuming,No,,Agree,,Neutral,,
Accounting,First,Certificate,Male,Asian,18-24,Usage Patterns,Yes,Rarely,Understanding concepts,Less than 1 hour,Neutral,Helpful,"Yes, slight improvement",Confident,it helped find a formula when I couldn’t find one in the ebook,No,,Disagree,it gives the correct formula but incorrect answers that could be improved,Neutral,it os advanced already just needs to get the answers right,
Accounting,First,Bachelors,Male,Asian,25-34,Visual,Yes,Weekly,Project research,1 to 3 hours,Satisfied,Helpful,"Yes, slight improvement",Neutral,,Yes,Effective,Agree,,Strongly Agree,,
Accounting,First,Bachelors,Male,Asian,Under 18,Visual,Yes,Weekly,"Understanding concepts, Project research, Tutoring or extra help",Less than 1 hour,Satisfied,Helpful,"Yes, slight improvement",Confident,providing examples related to the topic,Yes,Effective,Agree,,Strongly Agree,,
Accounting,First,Certificate,Male,Prefer not to say,18-24,Visual,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help",1 to 3 hours,Very satisfied,Very Helpful,No change,Very confident,starting my company,Yes,Very effective,Strongly Agree,more specialized,Agree,answers that are specific to your situation,
Accounting,First,Diploma,Female,Asian,55-64,Visual,Yes,Weekly,"Understanding concepts, Homework assistance, Project research",1 to 3 hours,Neutral,Helpful,"Yes, slight improvement",Neutral,,Yes,Effective,Neutral,with graph,Agree,,
Accounting,First,Diploma,Female,Asian,18-24,Visual,Yes,Monthly,"Understanding concepts, Homework assistance, Project research",Less than 1 hour,Satisfied,Helpful,"Yes, slight improvement",Neutral,I didn’t understand the project requirements so I used chatgpt and it helped,No,,Agree,,Neutral,,
Accounting,First,Postgraduate,Female,Hispanic/Latino,35-44,Visual,Yes,Daily,"Homework assistance, Project research, Assignments",1 to 3 hours,Neutral,Neutral,"Yes, slight improvement",Neutral,,No,,Neutral,it doesn’t know a lot about accounting,Neutral,posting images not just words,
Accounting,First,Diploma,Male,Asian,18-24,Visual,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments",1 to 3 hours,Satisfied,Helpful,"Yes, slight improvement",Neutral,,No,,Neutral,,Agree,,
Accounting,First,Postgraduate,Male,Asian,18-24,Visual,Yes,Monthly,"Homework assistance, Project research, Exam Preparation",1 to 3 hours,Neutral,Neutral,No change,Neutral,,Yes,Neutral,Neutral,understanding the question asked,Neutral,,
Accounting,Second,Diploma,Prefer not to say,Asian,18-24,Visual,Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",Less than 1 hour,Satisfied,Helpful,"Yes, slight improvement",Neutral,"if I want to put a speech for the ppt, I just give chatgpt slides and speech is ready",No,,Agree,to be more precise for the questions asked,Agree,chatgpt lacks images,
Accounting,First,Postgraduate,Female,Asian,25-34,Visual,Yes,Monthly,Other,Less than 1 hour,Neutral,Neutral,No change,Neutral,,Yes,Neutral,Agree,,Neutral,,
Accounting,Second,Diploma,Female,Asian,35-44,Visual,Yes,Weekly,"Project research, Assignments, Tutoring or extra help",3 to 5 hours,Satisfied,Helpful,No change,Confident,"do research, answer question from coursework",No,,Neutral,read your speaking/voice control,Agree,"creating visual, slides, producing videos",
Accounting,Second,Bachelors,Female,African,18-24,Visual,No,,,,,,,,,,,,,,,
Accounting,First,Diploma,Female,Asian,35-44,Visual,Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",Less than 1 hour,Satisfied,Helpful,"Yes, slight improvement",Neutral,,No,,Neutral,,Neutral,,
Accounting,Second,Diploma,Male,Asian,25-34,Visual,Yes,Rarely,"Understanding concepts, Homework assistance, Project research, Exam Preparation",Less than 1 hour,Dissatisfied,Neutral,No change,Neutral,"in finding a formula for WACC is finc 23 40, found new sawa afterwards",No,,Disagree,have an accurate knowledge resources ,Agree,use it in the latter?,
Accounting,Second,Diploma,Female,African,35-44,Visual,Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Assignments",3 to 5 hours,Satisfied,Helpful,"Yes, slight improvement",Confident,math courses,No,,Agree,more accessibility with free version,Agree,,
Accounting,Second,Certificate,Male,Hispanic/Latino,18-24,Visual,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments, Other",1 to 3 hours,Satisfied,Helpful,"Yes, slight improvement",Neutral,I input my whole assignment and had it graded by gpt then got feedback and repeated,Yes,Effective,Agree,,Strongly disagree,,
Accounting,First,Certificate,Female,Asian,35-44,Visual,Yes,Weekly,"Project research, Tutoring or extra help",1 to 3 hours,Satisfied,Helpful,"Yes, slight improvement",Confident,,Yes,Neutral,Disagree,,Agree,,
Accounting,Second,Bachelors,Female,African,18-24,Visual,No,,,,,,,,,,,,,,,
Business,First,Diploma,Female,Prefer not to say,18-24,Visual,Yes,Monthly,"Understanding concepts, Exam Preparation",Less than 1 hour,Satisfied,Helpful,"Yes, slight improvement",Confident,,,,,,,,
Marketing,First,Certificate,Prefer not to say,Asian,25-34,Visual,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Tutoring or extra help",1 to 3 hours,Neutral,Neutral,"Yes, slight improvement",Confident,its helpful in clarifying the difference between two similar concepts,No,,Neutral,,Disagree,,
Business,Second,Bachelors,Male,Asian,18-24,Visual,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes",1 to 3 hours,Satisfied,Neutral,No change,Neutral,create the summarization of concept from text,Yes,Neutral,Neutral,provide the source of the information that we can go further and look for,Agree,provide the reference and citation,provide more features/upload pdf
Business,First,Diploma,Female,Asian,45-54,Visual,Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Assignments, Tutoring or extra help",1 to 3 hours,Satisfied,Helpful,No change,Neutral,to understand a concept of some certain subjects,No,,Neutral,,Agree,,
Business,First,Bachelors,Female,Pacific Islander,18-24,Visual,Yes,Weekly,Homework assistance,Less than 1 hour,Neutral,Helpful,"Yes, slight improvement",Neutral,creating essay outlines to categorize papers,No,,Neutral,be smarter,Disagree,,
Business,First,Diploma,Female,Asian,18-24,Visual,Yes,Weekly,"Project research, Tutoring or extra help",Less than 1 hour,Neutral,Neutral,No change,Neutral,they help me brainstorm research topic,Yes,Neutral,Neutral,try to count the number correctly,Neutral,,
Business,Second,Diploma,Male,Asian,25-34,Visual,Yes,Weekly,"Homework assistance, Assignments, Tutoring or extra help",Less than 1 hour,Satisfied,Helpful,"Yes, slight improvement",Neutral,help understand some insightful concept,No,,Agree,,Agree,provide alternative point of view,try to point out the limitness of chatgpt
Business,First,Diploma,Male,Asian,18-24,Visual,Yes,Weekly,Understanding concepts,Less than 1 hour,Very satisfied,Very Helpful,"Yes, slight improvement",Very confident,it helped me find different formulas for different equations,Yes,Very effective,Strongly Agree,be more practical to have correct answers,Agree,,
Business,First,Diploma,Prefer not to say,Prefer not to say,18-24,Visual,No,Never,Understanding concepts,Less than 1 hour,Neutral,Very Helpful,No change,Neutral,chatgpt gave ma a chart and step by step on hpw to solve a problem,No,,Neutral,,Strongly disagree,,
Business,First,Diploma,Female,Asian,25-34,Visual,Yes,Rarely,Homework assistance,Less than 1 hour,Satisfied,Helpful,"Yes, significant improvement",Neutral,,No,,Neutral,,Neutral,,
Business,First,Diploma,Male,Asian,18-24,Visual,Yes,Daily,"Understanding concepts, Homework assistance, Assignments, Tutoring or extra help, Exam Preparation",3 to 5 hours,Satisfied,Helpful,"Yes, slight improvement",Confident,for example when I have some difficulties in finding good source I ask gpt for help,No,,Agree,maybe having some bacjground info about the user and then it can be more personal answers,Strongly Agree,,
Business,First,Postgraduate,Female,African,35-44,Visual,Yes,Monthly,Other,Less than 1 hour,Neutral,Neutral,No change,Neutral,,No,,Neutral,,Neutral,,
Business,First,Postgraduate,Female,African,25-34,Visual,Yes,Monthly,Understanding concepts,Less than 1 hour,Satisfied,Very Helpful,"Yes, significant improvement",Confident,,Yes,Effective,Agree,should be more detailed,Agree,,
Business,First,Postgraduate,Male,Asian,18-24,Visual,Yes,Monthly,Understanding concepts,Less than 1 hour,Neutral,Neutral,No change,Neutral,"not really, because it provides general info not specific",No,,Neutral,,Disagree,,
Business,First,Diploma,Male,Asian,25-34,Visual,No,Rarely,Tutoring or extra help,Less than 1 hour,Very dissatisfied,Very unhelpful,No change,Not applicable,,No,Very ineffective,Disagree,improve on database,Disagree,"tailored answers, instead of irrelevant ones",
Business,Second,Postgraduate,Male,Hispanic/Latino,35-44,Visual,Yes,Weekly,Class lecture and notes,Less than 1 hour,Very satisfied,Very Helpful,"Yes, slight improvement",Confident,translate from language to another,No,,Agree,,Agree,,
Business,Third,Postgraduate,Female,Asian,35-44,Visual,Yes,Weekly,"Understanding concepts, Project research, Assignments, Class lecture and notes, Exam Preparation",More than 5 hours,Very satisfied,Very Helpful,"Yes, slight improvement",Confident,,Yes,Effective,Neutral,,Agree,,
Business,Second,Diploma,Female,Hispanic/Latino,35-44,Visual,Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Assignments",1 to 3 hours,Satisfied,Helpful,"Yes, slight improvement",Confident,,Yes,Effective,Agree,use of verified sources,Agree,use of graphs and tables,
Business,Second,Postgraduate,Female,Asian,25-34,Visual,Yes,Monthly,Understanding concepts,Less than 1 hour,Satisfied,Helpful,"Yes, slight improvement",Confident,for preparing my research questionnaires,No,,Agree,,Agree,situational questions and answers,appropriate mathematical answers
